!!<TOTAL_WINDOWS>!!|18745
ab|127
absolute|185
absolute|christianity|27
absolute|interpretation|21
absolute|islam|7
absolute|marriage|3
absolute|moral|35
absolute|morality|23
absolute|objective|26
absolute|scripture|18
absolute|truth|47
abuse|203
abuse|anonymous|16
abuse|client|5
abuse|email|14
abuse|responsibility|18
abuse|server|9
abuse|site|15
abuse|threat|18
abuse|unix|5
abuse|user|20
ab|annual|2
ab|brake|9
ab|excellent|12
ab|fair|4
ab|fire|2
ab|fuel|1
ab|gun|4
ab|km|2
ab|manual|5
ab|merely|4
ab|module|4
ab|plant|1
ab|police|2
ab|training|9
ab|water|4
adam|170
adam|arabs|16
adam|byte|1
adam|cs|1
adam|homosexual|3
adam|jewish|29
adam|marry|2
adam|sexual|30
adam|witness|2
adapter|145
adapter|backup|4
adapter|card|60
adapter|floppy|24
adapter|gateway|2
adapter|hardware|15
adapter|mac|23
adapter|meg|4
adapter|microsoft|9
adapter|modem|15
adapter|motherboard|25
adapter|port|20
adapter|printer|9
adapter|ram|24
adapter|simm|5
adapter|upgrade|12
adapter|vga|15
adapter|video|35
adapter|windows|21
administration|228
administration|agency|56
administration|americans|39
administration|authority|35
administration|commit|32
administration|device|29
administration|economic|37
administration|enforcement|43
administration|government|119
administration|justice|28
advance|899
advance|brand|16
advance|hello|81
advance|honda|10
advance|hus|120
advance|monitor|39
advance|motherboard|24
advance|sale|26
advance|shipping|14
advance|thanks|598
agency|330
agency|americans|26
agency|authority|53
agency|commit|29
agency|device|51
agency|economic|27
agency|enforcement|82
agency|government|174
agency|justice|24
algorithm|335
algorithm|chip|110
algorithm|clipper|91
algorithm|crypto|33
algorithm|escrow|67
algorithm|government|100
algorithm|serial|25
algorithm|session|30
algorithm|warrant|16
algorithm|wiretap|33
amendment|195
amendment|arm|56
amendment|assault|25
amendment|bear|39
amendment|committee|13
amendment|constitution|49
amendment|file|19
amendment|handgun|21
amendment|militia|34
amendment|sentence|14
americans|222
americans|authority|26
americans|commit|26
americans|device|13
americans|economic|36
americans|enforcement|24
americans|government|86
americans|justice|17
amiga|122
amiga|compatible|17
amiga|configuration|9
amiga|dec|8
amiga|font|16
amiga|ftp|24
amiga|graphics|16
amiga|hp|12
amiga|interface|28
amiga|keyboard|9
amiga|mac|29
amiga|macintosh|18
amiga|motif|12
amiga|patch|13
amiga|pc|38
amiga|processing|17
amiga|shipping|16
amiga|toolkit|13
amiga|workstation|15
amp|99
amp|battery|12
amp|bike|3
amp|bmw|1
amp|detector|8
amp|fuel|2
amp|ide|2
amp|inch|3
amp|insurance|1
amp|meg|1
amp|mhz|2
amp|motherboard|2
amp|outlet|1
amp|radar|2
amp|rf|4
amp|rocket|1
amp|screen|3
amp|scsi|2
amp|voltage|22
angeles|161
angeles|boston|39
angeles|calgary|28
angeles|detroit|30
angeles|louis|41
angeles|philadelphia|25
angeles|pittsburgh|37
angeles|pp|8
angeles|rangers|20
angeles|winnipeg|19
annual|118
annual|cd|7
annual|excellent|7
annual|fair|3
annual|fuel|4
annual|item|9
annual|km|1
annual|manual|6
annual|microsoft|2
annual|module|6
annual|plant|2
annual|print|23
annual|printer|3
annual|sale|17
annual|shipping|18
annual|thanks|16
annual|water|6
anonymous|212
anonymous|client|29
anonymous|email|63
anonymous|responsibility|16
anonymous|server|58
anonymous|site|81
anonymous|threat|8
anonymous|unix|55
anonymous|user|85
app|156
application|733
application|colormap|17
application|converter|18
application|font|47
application|menu|47
application|screen|75
application|visual|33
application|widget|58
application|window|216
application|xt|42
app|button|9
app|character|7
app|colormap|3
app|font|5
app|hus|9
app|menu|10
app|microsoft|24
app|mouse|20
app|postscript|4
app|screen|23
app|swap|7
app|visual|7
app|window|64
app|windows|63
app|xterm|2
april|587
april|child|80
april|disease|21
april|francisco|25
april|hus|6
april|md|17
april|mouse|13
april|patient|18
april|trial|32
april|washington|91
arab|219
arabs|153
arabs|attack|48
arabs|buffer|2
arabs|civilian|34
arabs|israel|106
arabs|israeli|77
arabs|jewish|72
arabs|lebanese|12
arabs|lebanon|23
arabs|marry|1
arabs|peace|54
arabs|sexual|9
arabs|witness|1
arab|arabs|104
arab|attack|68
arab|buffer|7
arab|civilian|45
arab|israel|146
arab|israeli|111
arab|lebanese|19
arab|lebanon|34
arab|peace|62
arm|448
armenia|177
armenian|163
armenians|159
armenians|army|61
armenians|azerbaijan|56
armenians|defend|29
armenians|genocide|81
armenians|kill|72
armenians|massacre|76
armenians|muslim|69
armenians|people|118
armenians|say|86
armenians|troops|59
armenians|turkish|144
armenians|turks|126
armenians|walk|20
armenians|woman|62
armenian|armenians|133
armenian|army|58
armenian|azerbaijan|59
armenian|genocide|89
armenian|massacre|75
armenian|muslim|79
armenian|turkish|153
armenian|turks|128
armenia|armenian|144
armenia|armenians|137
armenia|army|63
armenia|azerbaijan|55
armenia|genocide|87
armenia|massacre|79
armenia|muslim|84
armenia|turkish|167
armenia|turks|149
army|225
army|azerbaijan|16
army|genocide|45
army|massacre|45
army|muslim|53
army|turkish|66
army|turks|66
arm|assault|47
arm|bear|86
arm|committee|37
arm|constitution|49
arm|file|31
arm|handgun|39
arm|militia|40
arm|sentence|28
assault|185
assault|bear|24
assault|committee|7
assault|constitution|27
assault|file|10
assault|handgun|39
assault|militia|13
assault|sentence|5
atheism|135
atheism|atheist|85
atheism|belief|53
atheism|bible|23
atheism|christian|46
atheism|existence|43
atheism|faith|39
atheism|god|88
atheism|religion|64
atheism|religious|37
atheist|275
atheist|belief|82
atheist|bible|60
atheist|christian|120
atheist|existence|58
atheist|faith|69
atheist|god|162
atheist|religion|99
atheist|religious|68
attack|588
attack|buffer|12
attack|civilian|80
attack|israel|83
attack|israeli|58
attack|lebanese|30
attack|lebanon|40
attack|peace|62
audio|134
audio|installation|6
audio|mass|5
audio|nuclear|5
audio|physical|3
audio|ship|7
audio|theory|4
audio|universe|1
audio|war|6
authority|390
authority|commit|41
authority|device|24
authority|economic|23
authority|enforcement|42
authority|government|140
authority|justice|48
azerbaijan|63
azerbaijan|genocide|22
azerbaijan|massacre|24
azerbaijan|muslim|20
azerbaijan|turkish|59
azerbaijan|turks|38
backup|137
backup|gif|2
backup|hardware|13
backup|modem|6
backup|printer|5
backup|ram|15
backup|upgrade|14
backup|windows|25
baseball|407
baseball|braves|27
baseball|deserve|15
baseball|hit|96
baseball|hitter|38
baseball|hr|17
baseball|offense|24
baseball|pitch|75
baseball|pitcher|66
baseball|staff|32
batf|194
batf|defend|14
batf|kill|66
batf|massacre|2
batf|people|121
batf|say|106
batf|troops|9
batf|walk|8
batf|woman|27
battery|198
battery|bike|17
battery|bmw|5
battery|helmet|1
battery|inch|8
battery|mouse|3
battery|ride|17
battery|screen|13
battery|voltage|13
bear|499
bear|committee|21
bear|constitution|44
bear|file|33
bear|handgun|24
bear|militia|29
bear|sentence|26
belief|459
belief|bible|104
belief|christian|192
belief|christianity|98
belief|eternal|29
belief|existence|66
belief|faith|123
belief|god|235
belief|heaven|41
belief|hell|31
belief|religion|153
belief|religious|120
belief|sin|49
bhj|1
bhj|eus|1
bhj|hus|1
bhj|mg|1
bhj|mr|1
bhj|mw|1
bhj|pd|1
bhj|pl|1
bhj|rg|1
bible|517
bible|christian|259
bible|existence|43
bible|faith|110
bible|god|327
bible|religion|108
bible|religious|83
bike|470
bike|bmw|72
bike|dog|64
bike|helmet|44
bike|honda|61
bike|inch|5
bike|rear|43
bike|ride|177
bike|rider|63
bike|saturn|1
bike|turbo|9
billion|170
billion|detector|2
billion|fuel|10
billion|insurance|9
billion|outlet|2
billion|radar|2
billion|rocket|8
bio|114
bio|connector|8
bio|controller|34
bio|disk|38
bio|dos|24
bio|feature|5
bio|floppy|19
bio|jumper|14
bio|rom|12
bmw|208
bmw|dog|20
bmw|helmet|9
bmw|honda|15
bmw|inch|8
bmw|rear|15
bmw|ride|38
bmw|rider|17
bmw|saturn|1
bmw|turbo|6
bmw|voltage|2
boston|282
boston|calgary|23
boston|detroit|46
boston|louis|36
boston|philadelphia|28
boston|pittsburgh|52
boston|pp|9
boston|rangers|42
boston|winnipeg|17
brake|137
brake|cop|4
brake|fire|2
brake|gun|6
brake|merely|2
brake|police|7
brake|training|4
brand|247
brand|hello|6
brand|honda|5
brand|hus|8
brand|monitor|26
brand|motherboard|9
brand|sale|49
brand|shipping|29
brand|thanks|61
braves|101
braves|coach|4
braves|cup|4
braves|deserve|3
braves|detroit|12
braves|fan|23
braves|gm|3
braves|hit|39
braves|hitter|15
braves|hr|9
braves|offense|12
braves|pitch|33
braves|pitcher|24
braves|rangers|11
braves|staff|13
braves|stanley|2
buffer|123
buffer|char|7
buffer|civilian|8
buffer|file|31
buffer|input|16
buffer|int|5
buffer|io|19
buffer|israel|15
buffer|israeli|12
buffer|lebanese|11
buffer|lebanon|9
buffer|null|9
buffer|output|29
buffer|peace|8
buffer|postscript|12
buffer|program|34
button|195
button|colormap|8
button|menu|24
button|microsoft|9
button|mouse|35
button|screen|40
button|swap|7
button|window|72
button|windows|28
byte|169
byte|cs|1
byte|db|1
byte|jewish|1
byte|sexual|1
cal|88
calgary|83
calgary|detroit|23
calgary|louis|25
calgary|philadelphia|14
calgary|pittsburgh|26
calgary|pp|8
calgary|rangers|18
calgary|winnipeg|22
cal|det|32
cal|mon|23
cal|nj|18
cal|pit|23
cal|pitcher|6
cal|que|26
cal|tor|32
cal|van|28
cal|vs|8
card|977
card|floppy|82
card|gateway|37
card|mac|76
card|meg|68
card|mhz|56
card|microsoft|39
card|modem|72
card|motherboard|72
card|port|98
card|ram|130
card|simm|19
card|slot|77
card|vga|101
card|video|231
card|windows|169
catholic|177
catholic|church|113
catholic|player|1
catholic|pope|30
catholic|roger|1
catholic|team|1
cd|236
cd|item|24
cd|manual|22
